,useless,pr_min_color,pr_min,pr_avg,rc_min_color,rc_min,rc_avg,colorspace,degree,regularization
401,0.028846153846153848,Grey,0.696969696969697,0.8829661040121144,White,0.5952380952380952,0.8289112249056565,SVLYCr,4,0.1
712,0.027777777777777776,Silver,0.7321428571428571,0.8829495042270826,Grey,0.5526315789473685,0.8219273275300087,RBabCr,4,0.1
528,0.029914529914529916,Grey,0.696969696969697,0.8829100994307372,Grey,0.6052631578947368,0.8317194070437033,SLaYCr,4,0.1
445,0.029914529914529916,Grey,0.71875,0.8828753140855679,Grey,0.6052631578947368,0.8332308171550563,SRBbCr,4,0.1
233,0.027777777777777776,Silver,0.727810650887574,0.8828441307132481,Grey,0.6052631578947368,0.8273807183823809,HRBaCb,4,0.1
455,0.030982905982905984,Grey,0.71875,0.8827973439769174,Grey,0.6052631578947368,0.8365012721162773,SRLbCr,4,0.1
57,0.03311965811965812,Silver,0.7325581395348837,0.8827468446619319,White,0.5952380952380952,0.8342255244331879,HSRaCb,4,0.1
27,0.028846153846153848,Grey,0.6666666666666666,0.8827447626047603,Grey,0.5789473684210527,0.8289648108624765,HSVaY,4,0.1
662,0.027777777777777776,Silver,0.7321428571428571,0.8827386065411822,Grey,0.5526315789473685,0.8203176861957254,VabYCb,4,0.1
58,0.030982905982905984,Grey,0.6875,0.8827312058320284,Grey,0.5789473684210527,0.8292260633193602,HSRbY,4,0.1
536,0.029914529914529916,Grey,0.6764705882352942,0.8826769997804536,Grey,0.6052631578947368,0.8311169405472992,SabYCb,4,0.1
273,0.027777777777777776,Grey,0.7333333333333333,0.8826652791237041,Grey,0.5789473684210527,0.8208580565211274,HGBYCb,4,0.1
624,0.026709401709401708,Gold,0.7445652173913043,0.8825144566799891,White,0.5714285714285714,0.8169170112270872,VGaYCr,4,0.1
731,0.027777777777777776,Silver,0.711764705882353,0.8824605471375799,Grey,0.5526315789473685,0.8151954640351834,RabYCr,4,0.1
4,0.030982905982905984,Grey,0.6666666666666666,0.882367643299906,Grey,0.5789473684210527,0.8268745412348046,HSVRb,4,0.1
589,0.026709401709401708,Gold,0.73224043715847,0.8823668110394357,Grey,0.5789473684210527,0.8184109433983507,VRaYCr,4,0.1
11,0.030982905982905984,Grey,0.6470588235294118,0.8823644453972943,Grey,0.5789473684210527,0.8282331574612425,HSVGb,4,0.1
222,0.027777777777777776,Silver,0.7470588235294118,0.8822176448604241,White,0.5476190476190477,0.8202670214396771,HRGYCr,4,0.1
609,0.026709401709401708,Grey,0.71875,0.8821312624371279,White,0.5714285714285714,0.8312484482733862,VGBYCb,4,0.1
739,0.027777777777777776,Gold,0.7307692307692307,0.8820666368106713,Grey,0.5526315789473685,0.8196538970030728,GBLaCb,4,0.1
389,0.029914529914529916,Grey,0.71875,0.8820657498884956,Grey,0.6052631578947368,0.83630301377564,SVBbCr,4,0.1
249,0.03205128205128205,Grey,0.7058823529411765,0.8819744823882161,White,0.6190476190476191,0.8384182334639323,HRLCrCb,4,0.1
488,0.029914529914529916,Grey,0.6764705882352942,0.8819630894741616,White,0.5714285714285714,0.8302362727478296,SGLaCb,4,0.1
744,0.027777777777777776,Gold,0.726775956284153,0.8819610758099053,Grey,0.5789473684210527,0.8197282959044665,GBLYCb,4,0.1
145,0.028846153846153848,Grey,0.7272727272727273,0.8819194925229242,White,0.5476190476190477,0.8239219777607241,HVRYCr,4,0.1
508,0.030982905982905984,Grey,0.696969696969697,0.8817461413817868,White,0.5714285714285714,0.831599716583496,SBLaCb,4,0.1
351,0.030982905982905984,Grey,0.71875,0.8817235132926249,White,0.5714285714285714,0.8298816976087469,SVRaCb,4,0.1
282,0.026709401709401708,Silver,0.7267441860465116,0.8817219576253772,White,0.5238095238095238,0.8164110809570146,HGLYCr,4,0.1
330,0.028846153846153848,Grey,0.6052631578947368,0.8817067277829944,White,0.5714285714285714,0.8264595414334415,SVRGB,4,0.1
2,0.030982905982905984,Grey,0.7096774193548387,0.8816352422836814,Grey,0.5789473684210527,0.829232557525083,HSVRL,4,0.1
530,0.03311965811965812,Silver,0.7251461988304093,0.8816184366108366,White,0.5714285714285714,0.8338834971529518,SLaCrCb,4,0.1
102,0.029914529914529916,Grey,0.6571428571428571,0.8815918128366236,White,0.5714285714285714,0.8268815913342211,HSLaCr,4,0.1
478,0.029914529914529916,Grey,0.6764705882352942,0.8815741588373445,White,0.5714285714285714,0.8285894896230465,SGBaCb,4,0.1
