,useless,pr_min_color,pr_min,pr_avg,rc_min_color,rc_min,rc_avg,colorspace,degree,regularization
194,0.03632478632478633,Silver,0.6830601092896175,0.8595720553042508,Grey,0.39473684210526316,0.8100728726806637,CbCrSb,4,2
288,0.038461538461538464,Silver,0.6961325966850829,0.8595681678215661,Grey,0.5526315789473685,0.823655999863354,CrGHV,4,2
158,0.035256410256410256,Grey,0.4583333333333333,0.8593364824672793,Grey,0.5789473684210527,0.8262311517898613,BSYa,4,2
99,0.03311965811965812,Grey,0.44,0.8587238877796703,Grey,0.5789473684210527,0.8283720732842078,BGSV,4,2
58,0.035256410256410256,Silver,0.7365269461077845,0.8585641460408568,Grey,0.4473684210526316,0.8246934470371206,BCrHa,4,2
101,0.035256410256410256,Grey,0.4583333333333333,0.8585159869210227,Grey,0.5789473684210527,0.8217405217931115,BGSa,4,2
246,0.03632478632478633,Grey,0.625,0.8581767160694735,Grey,0.39473684210526316,0.8123035286545123,CbHVb,4,2
23,0.03418803418803419,Grey,0.625,0.8578322898701422,Grey,0.39473684210526316,0.8016830142519082,BCbHb,4,2
175,0.038461538461538464,Silver,0.718562874251497,0.8575878790885216,Grey,0.5,0.8162398864975926,CbCrHS,4,2
301,0.038461538461538464,Silver,0.74375,0.8574814564618359,Grey,0.5263157894736842,0.825899090181703,CrGRa,4,2
73,0.03632478632478633,Grey,0.6111111111111112,0.8572446542621088,Grey,0.5789473684210527,0.8245701378819359,BCrSa,4,2
21,0.03205128205128205,Grey,0.59375,0.8571336016681431,Grey,0.5,0.8160361347992726,BCbHY,4,2
405,0.03739316239316239,Grey,0.4230769230769231,0.8569205366518636,Grey,0.5789473684210527,0.8167539326641182,GRSV,4,2
329,0.035256410256410256,Noise,0.6893939393939394,0.8568408028975972,Grey,0.42105263157894735,0.8039137566142249,CrHVa,4,2
156,0.035256410256410256,Grey,0.4583333333333333,0.8563242077387585,Grey,0.5789473684210527,0.8232783389371595,BSVa,4,2
36,0.03418803418803419,Gold,0.7119565217391305,0.8555674475885261,Green,0.22580645161290322,0.7825715735495451,BCbSY,4,2
406,0.03739316239316239,Grey,0.4230769230769231,0.8552847392134558,Grey,0.5789473684210527,0.8193007347133092,GRSY,4,2
225,0.03632478632478633,Grey,0.6071428571428571,0.8551076355793004,Grey,0.4473684210526316,0.814327932654141,CbGVb,4,2
379,0.03418803418803419,Grey,0.65,0.8549088557776927,Grey,0.34210526315789475,0.8032446653632968,GHRb,4,2
118,0.03205128205128205,Grey,0.6,0.8546644548352833,Grey,0.3157894736842105,0.8065579481866314,BHRa,4,2
337,0.03418803418803419,Noise,0.7295081967213115,0.8545221865621202,Grey,0.5,0.8221546826909207,CrLRa,4,2
117,0.03418803418803419,Grey,0.5714285714285714,0.8540903409082432,Grey,0.42105263157894735,0.8130428331847978,BHRY,4,2
